CLUTTON-RES,,,,,,,,,,
Grid ref,ST615602,Long,-2.554087,Lat,51.339575,Elevation,600,ft,,
Station no,1973/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.3,3.94,4.1
February,,,,,,,,4.26,0.31,3.04
March,,,,,,,,1.3,3.96,2.46
April,,,,,,,,1.35,2.69,2.1
May,,,,,,,2,2.81,1.49,1.14
June,,,,,,,1.89,3.73,3.21,4.95
July,,,,,,,4.29,3.77,2.07,6.41
August,,,,,,,4.63,3.78,1.3,4.31
September,,,,,,,4.54,5.85,0.23,4.31
October,,,,,,,3.77,3.16,3.25,8.37
November,,,,,,,2.76,2.32,5.5,4.97
December,,,,,,,2.75,5.19,8.68,5.44
Total,,,,,,,,40.82,36.63,51.6
,,,,,,,,,,
Gauge read weekly,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9583,,,,,,,,,,
1957-1970,,,,,,,,,,
