"GOMSHALL (NETLEY MILL P.S.)",,,,,,,,,,,,
Grid ref,TQ079479,Long,-0.456363,Lat,51.220111,,,,,,,
Station no,192/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.39,3.19,4.68,2.32,2.79,3.00,3.26,,
February,,,,2.42,1.81,0.48,4.04,2.68,0.04,2.69,,
March,,,,2.87,1.52,0.89,1.34,2.14,3.04,2.15,,
April,,,,0.39,0.25,1.36,0.31,1.15,2.85,0.90,,
May,,,,2.01,3.89,0.26,1.72,2.86,0.52,1.59,,
June,,,,4.08,2.30,2.82,1.54,4.27,0.74,2.42,,
July,,,,2.99,1.19,4.96,4.01,1.45,2.19,2.97,,
August,,,,2.80,1.04,4.05,2.66,3.83,2.76,4.39,,
September,,,,2.32,2.21,2.93,2.83,4.42,0.13,2.88,,
October,,,,2.32,4.33,1.42,1.77,3.07,3.37,7.42,,
November,,,,5.64,2.15,1.05,3.29,2.32,4.60,5.30,,
December,,,,2.62,3.18,4.88,2.69,3.49,5.96,3.99,,
Total,,,,31.85,27.06,29.78,28.52,34.47,29.20,39.96,,
Calc annual,0.00,0.00,0.00,31.85,27.06,29.78,28.52,34.47,29.20,39.96,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
