PORTLAND EASTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8955,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.22,1.16,5.06,5.11,0.88,,,,,,,
February,4.01,1.55,2.59,1.73,5.12,,,,,,,
March,0.76,2.69,4.66,2.59,5.39,,,,,,,
April,1.35,1.56,0.00,2.45,1.21,,,,,,,
May,1.94,0.94,2.14,1.92,1.50,,,,,,,
June,2.09,1.79,3.53,0.41,0.39,,,,,,,
July,3.56,0.11,2.04,0.45,4.31,,,,,,,
August,2.03,0.74,5.14,1.46,3.57,,,,,,,
September,0.17,0.78,2.33,3.04,1.69,,,,,,,
October,4.85,4.46,4.88,3.52,2.21,,,,,,,
November,4.54,4.08,1.84,2.94,5.08,,,,,,,
December,5.27,7.60,4.94,2.26,6.76,,,,,,,
Total,33.79,27.46,39.15,27.88,38.11,,,,,,,
Calc annual,33.79,27.46,39.15,27.88,38.11,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
