"HARTFIELD (BOLEBROKE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,581,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.70,2.84,5.98,2.79,2.08,3.00,2.73,,,,,
February,3.93,0.75,2.21,0.96,2.44,2.82,1.87,,,,,
March,2.94,3.23,0.37,0.05,1.57,1.57,5.91,,,,,
April,1.77,1.88,1.59,1.46,1.15,2.61,2.07,,,,,
May,2.59,3.56,3.17,0.69,1.91,2.02,1.57,,,,,
June,2.25,0.13,2.05,1.13,1.97,2.51,3.00,,,,,
July,2.81,2.02,2.33,1.87,4.70,2.06,2.38,,,,,
August,4.01,3.24,1.74,2.72,2.08,6.25,0.15,,,,,
September,0.61,2.22,2.14,2.90,1.81,3.09,1.65,,,,,
October,1.53,3.50,3.06,5.95,3.75,1.23,0.75,,,,,
November,4.10,1.76,1.97,5.91,0.16,6.31,1.19,,,,,
December,2.75,3.81,3.02,2.83,5.05,3.85,2.77,,,,,
Total,31.99,28.94,29.63,29.26,28.67,37.32,26.04,,,,,
Calc annual,31.99,28.94,29.63,29.26,28.67,37.32,26.04,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
