GLEN TORRIDON (CARN ANTHONY),,,,,,,,,,
Grid ref,NG977579,Long,-5.384031,Lat,57.565752,Elevation,350,ft,,
Station no,5784/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.4,10.63,15.65,16.74,7.13,8.65
February,,,,,6.7,7.6,5.84,13.23,5.62,7.85
March,,,,,3.53,2.69,8.83,4.1,4.49,1.78
April,,,,,5.14,6.2,4.46,7.43,9.25,9.35
May,,,,,7.95,7.9,4.11,10.73,4.92,2.85
June,,,,,4.75,4.74,6.45,2.44,7.87,10.62
July,,,,,1.59,8.11,6.71,5.1,12.21,5.15
August,,,,,2.34,8.26,11.1,5.73,8.94,8.1
September,,,,12.37,8.4,4.78,11.83,4.46,5.54,5.12
October,,,,18.11,15.16,10.78,12.2,11.82,12.12,3.07
November,,,,11.47,5.89,10.01,7.72,4.66,9.79,6.35
December,,,,19.84,10.63,12.2,14.77,7.87,11.22,10.56
Total,,,,,77.48,93.9,109.67,94.31,99.1,79.45
,,,,,,,,,,
1954 -999 Deleted,,,,,,,,,,
1955 Np Poor site to June,,,,,,,,,,
1959 JF Ests,,,,,,,,,,
,,,,,,,,,,
Station no,5784/3,,,,,,,,,
Midas,14131,,,,,,,,,
Hyd Stn,713041,,,,,,,,,
