EASTCOMBE,,,,,,,,,,,,
Grid ref,SO888040,Long,-2.163584,Lat,51.734596,,,,,,,
Station no,2155/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.56,3.51,2.99,2.78,4.99,5.01,,
February,,,,,1.63,0.63,3.78,4.52,0.18,3.14,,
March,,,,,1.82,0.75,2.77,1.65,3.28,1.89,,
April,,,,,1.08,2.24,0.19,0.80,3.57,1.27,,
May,,,,,5.02,0.65,1.71,3.07,1.37,1.68,,
June,,,,,3.89,2.96,1.43,3.63,2.40,2.42,,
July,,,,,0.94,4.04,4.03,4.26,1.82,4.11,,
August,,,,,0.44,4.87,4.30,3.22,2.24,,,
September,,,,,0.85,4.02,3.54,5.74,0.18,,,
October,,,,,1.88,1.52,2.29,2.88,2.27,,,
November,,,,,3.98,1.03,1.99,2.92,3.90,,,
December,,,,,4.14,4.37,2.80,3.75,6.65,,,
Total,,,,,28.23,30.59,31.82,39.22,32.85,,,
Calc annual,0.00,0.00,0.00,0.00,28.23,30.59,31.82,39.22,32.85,19.52,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,NaN,,
