GREAT YARMOUTH,,,,,,,,,,,,
Grid ref,TG527086,Long,1.731584,Lat,52.616319,,,,,,,
Station no,1427,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.21,1.11,1.92,2.74,4.15,,
February,,,,,,1.84,1.88,2.89,0.14,1.65,,
March,,,,,,0.78,1.57,1.64,0.69,0.50,,
April,,,,,,0.61,0.41,1.12,1.92,0.53,,
May,,,,,,0.48,1.42,3.05,0.26,0.24,,
June,,,,,,1.91,2.58,2.51,0.80,1.19,,
July,,,,,,1.93,2.90,3.86,1.13,2.97,,
August,,,,,,3.12,2.97,2.74,2.28,3.27,,
September,,,,,,0.96,3.69,1.72,0.14,2.52,,
October,,,,,,3.56,1.11,2.14,3.05,6.49,,
November,,,,,,0.98,1.94,0.92,2.72,1.90,,
December,,,,,,1.13,1.90,3.27,2.77,4.60,,
Total,,,,,,20.51,23.48,27.78,18.64,30.01,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.51,23.48,27.78,18.64,30.01,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,,
