GLENDEVON (GLENQUEY RES) NEW SITE,,,,,,,,,,
Grid ref,NN982029,Long,-3.642693,Lat,56.207763,Elevation,920,ft,,
Station no,5528,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.94,4.69,2.04,5.67
February,,,,,,,3.76,3.01,3.09,5.35
March,,,,,,,5.66,2.7,4.62,2.3
April,,,,,,,3.5,1.88,4.12,4.82
May,,,,,,,3.72,4.36,0.78,3.7
June,,,,,,,2.35,3.7,3.68,3.54
July,,,,,,,6.58,6.16,7.33,5.87
August,,,,,,,6.05,6.44,2.63,5.02
September,,,,,,6.03,3.02,7.4,1.4,3.82
October,,,,,,5.37,5.89,3.94,5.93,6.55
November,,,,,,1.1,3.23,2.66,9.37,6.83
December,,,,,,7.03,9.95,10.23,10.46,7.28
Total,,,,,,,62.65,57.17,55.45,60.75
,,,,,,,,,,
Some estimations for snow,,,,,,,,,,
