PEN SELWOOD RECTORY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8528,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.34,1.71,5.43,5.46,1.28,4.53,2.04,,,,,
February,4.61,2.90,3.13,1.29,4.17,6.44,6.47,,,,,
March,0.95,2.46,5.39,3.35,5.75,1.26,3.54,,,,,
April,2.87,2.59,0.14,3.57,1.59,1.60,1.62,,,,,
May,1.99,1.68,1.77,2.96,2.11,2.76,2.47,,,,,
June,4.95,2.37,5.22,0.92,1.84,1.39,2.72,,,,,
July,2.64,0.05,4.81,0.71,5.17,5.55,1.30,,,,,
August,4.00,0.81,7.35,1.73,3.10,3.32,6.46,,,,,
September,0.24,1.58,1.17,3.48,1.86,1.93,3.95,,,,,
October,4.55,3.36,4.78,3.66,3.18,6.17,6.70,,,,,
November,4.43,3.46,2.25,4.05,4.25,2.36,5.49,,,,,
December,7.12,9.52,6.08,2.90,7.36,7.70,-999.00,,,,,
Total,42.69,32.49,47.52,34.08,41.66,45.01,47.31,,,,,
Calc annual,42.69,32.49,47.52,34.08,41.66,45.01,42.76,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,4.55,NaN,NaN,NaN,,
