CHELTENHAM (CLEEVE HILL),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8191,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,4.91,1.45,2.96,2.79,3.75,1.24,,
February,,,,,0.66,4.15,1.96,2.86,1.62,0.61,,
March,,,,,1.03,0.44,0.24,2.68,2.12,0.08,,
April,,,,,2.56,1.68,2.80,1.65,0.94,1.09,,
May,,,,,5.84,2.94,3.27,1.10,0.96,1.90,,
June,,,,,2.12,0.12,1.81,2.43,2.51,1.69,,
July,,,,,4.92,2.55,2.28,3.00,1.88,1.95,,
August,,,,,3.76,1.31,1.92,3.84,2.38,2.07,,
September,,,,,4.15,3.55,2.15,4.82,0.84,0.43,,
October,,,,,5.16,2.65,2.75,1.48,5.36,3.75,,
November,,,,,2.35,1.50,6.53,2.56,2.12,7.82,,
December,,,,,2.28,2.01,0.53,2.42,2.23,6.66,,
Total,,,,,39.74,24.35,29.20,31.63,26.71,29.29,,
Calc annual,0.00,0.00,0.00,0.00,39.74,24.35,29.20,31.63,26.71,29.29,0.00,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,
