WASHFORD (TORRE),,,,,,,,,,,,
Grid ref,ST046400,Long,-3.365370,Lat,51.151279,,,,,,,
Station no,2091/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.43,4.78,3.56,,
February,,,,,,,,4.42,0.23,4.02,,
March,,,,,,,,1.25,3.64,2.27,,
April,,,,,,,,0.72,3.44,3.21,,
May,,,,,,,,3.53,0.62,1.37,,
June,,,,,,,,3.91,1.81,1.44,,
July,,,,,,,,1.16,3.26,3.93,,
August,,,,,,,,3.76,3.22,2.61,,
September,,,,,,,,4.62,0.07,4.54,,
October,,,,,,,,3.03,3.75,11.69,,
November,,,,,,,,2.03,6.47,4.51,,
December,,,,,,,,4.04,9.46,5.75,,
Total,,,,,,,,35.90,40.75,48.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.90,40.75,48.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
