ARTHOG-THE-CRESCENT,,,,,,,,,,
Grid ref,SH632148,Long,-4.0265445,Lat,52.713516,Elevation,6,ft.,,
Station no,4341/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.38,2.82,5.03,5.27,4.39,5.18,6.59
February,,,,4.07,2.85,0.41,3.95,7.11,1.2,5.68
March,,,,4.01,3.12,2.03,5.13,1.19,3.03,1.48
April,,,,1.39,4.3,1.56,0.56,1.24,4.89,3.44
May,,,,4.22,4.6,1.4,2.04,4.85,1.29,1.63
June,,,,5.35,5.53,2.57,2.55,4.79,2.82,4.42
July,,,,5.51,1.2,4.74,8.5,5.88,3.45,4.09
August,,,,4.82,0.89,7.95,6.81,4.66,0.64,3.85
September,,,,4.59,4.24,5.04,7.13,9.32,0.87,7.09
October,,,,9.91,2.6,3.3,7.34,6.17,7.1,4.34
November,,,,10.72,2.19,2.22,2.89,3.2,7.48,9.93
December,,,1.77,5.61,5.26,4.97,3.42,4.42,9.44,5.17
Total,,,,64.58,39.6,41.22,55.59,57.22,47.39,57.71
,,,,,,,,,,
"NGR is from 1950s record and is close to Mawddach Crescent near Arthog, Altitudes match.",,,,,,,,,,
No other Merionethshire location within 8 km covering some of the same period,,,,,,,,,,
