WOTTON-UNDER-EDGE (CLAREMONT),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2144/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,3.68,2.81,4.46,2.97,4.20,0.83,4.39,
February,,,,,0.33,3.22,2.08,3.65,2.06,0.85,0.74,
March,,,,,1.13,0.48,0.32,2.72,3.11,0.22,2.72,
April,,,,,2.47,1.65,2.90,1.17,1.42,0.91,2.06,
May,,,,,6.15,3.90,2.79,1.03,0.58,2.26,1.22,
June,,,,,2.32,0.00,2.26,3.15,2.49,1.20,0.79,
July,,,,,4.13,2.64,2.92,4.83,2.36,1.21,3.52,
August,,,,,3.88,3.15,2.43,3.97,2.67,2.87,2.36,
September,,,,,3.64,3.46,1.35,5.20,1.30,0.27,3.12,
October,,,,,4.76,3.36,3.42,1.95,5.10,4.65,2.13,
November,,,,,2.50,1.50,6.00,2.52,2.88,7.52,3.65,
December,,,,,3.97,3.80,0.66,3.38,2.86,6.11,2.96,
Total,,,,,38.96,29.97,31.59,36.54,31.03,28.90,29.66,
Calc annual,0.00,0.00,0.00,0.00,38.96,29.97,31.59,36.54,31.03,28.90,29.66,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
