FROYLE PARK EDGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8902,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.12,1.46,3.27,4.01,0.76,3.95,1.33,,,,,
February,4.45,1.94,2.48,1.03,4.20,5.18,4.40,,,,,
March,1.23,1.79,3.41,3.94,4.25,0.85,3.63,,,,,
April,1.99,1.95,0.04,3.29,1.31,1.09,0.85,,,,,
May,2.12,3.13,1.75,2.32,1.33,3.68,1.61,,,,,
June,4.64,1.98,3.91,0.35,0.47,1.80,2.42,,,,,
July,2.45,0.26,1.83,1.98,2.47,5.21,0.86,,,,,
August,3.21,0.44,4.62,1.10,1.69,1.51,3.81,,,,,
September,0.33,1.30,2.64,2.51,1.24,2.06,2.04,,,,,
October,4.20,4.08,2.95,4.12,2.02,1.68,6.06,,,,,
November,3.79,4.57,2.21,3.14,3.32,3.62,4.65,,,,,
December,6.06,6.46,3.74,1.55,8.34,6.48,3.07,,,,,
Total,37.59,29.36,32.85,29.34,31.40,37.11,34.73,,,,,
Calc annual,37.59,29.36,32.85,29.34,31.40,37.11,34.73,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
