LOCHWINNOCH (SEWAGE WORKS),,,,,,,,,,
Grid ref,NS356588,Long,-4.623904,Lat,55.794448,Elevation,95,ft,,
Station no,5289/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,7.17,3.76,4.85,8.38,7.36,2.66,5.1
February,,,,5.47,3.93,2.37,3.95,4.69,2.94,5.23
March,,,,3.64,1.92,3.93,6.5,1.98,4,2.62
April,,,,3.14,4.71,2.09,3.25,2.2,3.82,6.3
May,,,,3.7,4.71,3.82,3.02,3.83,1.42,2.55
June,,,,5.06,3.55,3.11,2.89,3.14,4.1,3.59
July,,,,4.3,1.95,5.42,6.08,6.14,6.88,4.99
August,,,,7.31,1.21,6.17,6.16,4.56,1.42,4.4
September,,,,8.07,5.6,6.64,4.05,6.45,1.67,4.45
October,,,,11.34,3.85,4.43,6.01,5.06,8.07,3.08
November,,,,9.07,2.9,3.32,2.8,2.98,6.89,8.06
December,,,,11.17,10.72,7.52,7.42,7.67,9.37,8.84
Total,,,,79.44,48.81,53.67,60.51,56.06,53.24,59.21
,,,,,,,,,,
Station no,5289/3,,,,,,,,,
Midas,13651,,,,,,,,,
Hyd Stn,659405,,,,,,,,,
