CAMPSIE. GLENALMOND,,,,,,,,,,,,
Grid ref,NN984287,Long,-3.649434,Lat,56.439503,,,,,,,
Station no,5546/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.28,3.33,0.83,3.22,2.39,2.64,5.90,3.37,2.00,3.33,,
February,2.79,0.30,1.06,3.91,1.19,1.31,3.62,1.91,1.53,4.20,,
March,1.92,4.05,1.32,2.51,1.97,2.50,3.81,1.70,2.59,2.21,,
April,2.39,1.71,1.80,1.37,1.69,0.66,1.35,1.09,2.96,3.10,,
May,1.97,2.26,2.32,6.13,2.39,2.27,2.46,2.92,0.48,4.40,,
June,2.27,2.56,1.90,3.01,2.55,3.83,1.53,2.45,2.80,2.11,,
July,4.08,1.25,4.28,2.69,1.28,4.17,3.81,4.68,4.21,4.13,,
August,5.49,3.68,1.73,4.37,1.23,6.34,4.20,5.07,1.23,6.61,,
September,3.21,1.60,3.33,4.34,1.99,6.05,2.50,5.02,0.83,2.55,,
October,0.93,3.39,1.83,7.33,3.18,2.60,3.03,3.13,3.61,4.89,,
November,8.23,1.86,5.46,6.82,2.21,0.79,1.38,1.35,5.93,4.60,,
December,5.16,2.86,5.18,5.42,7.16,5.80,4.24,5.68,6.78,4.34,,
Total,42.72,28.85,31.04,51.12,29.23,38.96,37.83,38.37,34.95,46.47,,
Calc annual,42.72,28.85,31.04,51.12,29.23,38.96,37.83,38.37,34.95,46.47,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
