"EARBY SEWAGE WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3300,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,2.36,2.98,5.53,,
February,,,,,,,,0.95,6.16,1.38,,
March,,,,,,,,2.44,1.39,5.18,,
April,,,,,,,,1.83,1.02,1.92,,
May,,,,,,,,1.72,1.40,1.71,,
June,,,,,,,,2.64,1.54,1.29,,
July,,,,,,,,2.11,4.19,1.90,,
August,,,,,,,,6.21,3.17,2.79,,
September,,,,,,,,2.47,11.04,1.88,,
October,,,,,,,,6.80,3.55,2.15,,
November,,,,,,,,3.62,2.04,2.84,,
December,,,,,,,,1.76,7.72,5.28,,
Total,,,,,,,,34.91,46.20,33.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.91,46.20,33.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
