LEEDS STOURTON LODGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6595,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,,,,,,1.40,1.46,3.32,,
February,,,,,,,,0.85,3.98,1.54,,
March,,,,,,,,1.53,3.96,,,
April,,,,,,,,2.50,2.93,,,
May,,,,,,,,3.47,1.09,,,
June,,,,,,,,2.66,5.35,,,
July,,,,,,,,0.62,1.75,,,
August,,,,,,,,2.59,3.50,,,
September,,,,,,,,1.29,5.10,,,
October,,,,,,,,2.49,4.76,,,
November,,,,,,,,1.55,1.46,,,
December,,,,,,,,4.49,2.52,,,
Total,,,,,,,,25.44,37.86,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.44,37.86,4.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
