"CASTLE DOUGLAS (THE LEATHS)",,,,,,,,,,,,
Grid ref,NX789629,Long,-3.892172,Lat,54.946006,,,,,,,
Station no,RR4000,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.61,3.32,2.95,5.26,6.46,2.06,4.63,,
February,,,,5.20,1.78,0.66,4.03,3.68,1.39,5.97,,
March,,,,3.27,2.77,1.99,2.93,1.10,3.38,1.64,,
April,,,,1.15,1.94,1.19,1.76,1.36,3.17,5.95,,
May,,,,4.02,4.17,1.89,2.80,3.44,0.93,1.82,,
June,,,,3.89,2.73,2.59,1.01,4.04,3.27,2.64,,
July,,,,3.57,2.47,6.39,4.07,4.09,2.76,4.73,,
August,,,,5.56,1.71,8.38,3.00,4.83,0.47,5.05,,
September,,,5.59,6.11,2.99,4.85,4.64,5.17,1.35,4.97,,
October,,,3.76,9.59,2.80,3.22,4.52,4.64,5.00,5.55,,
November,,,6.64,11.20,3.44,1.86,2.89,2.06,8.07,8.26,,
December,,,3.32,5.12,5.96,5.69,4.49,4.35,9.95,4.09,,
Total,,,,63.29,36.08,41.66,41.40,45.22,41.80,55.30,,
Calc annual,0.00,0.00,19.31,63.29,36.08,41.66,41.40,45.22,41.80,55.30,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
