GREAT SMEATON (HOME FARM),,,,,,,,,,,,
Grid ref,NZ346046,Long,-1.468091,Lat,54.435646,,,,,,,
Station no,3446/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.56,0.96,1.93,1.23,2.48,,,,,,
February,,0.26,1.69,2.16,0.85,2.17,,,,,,
March,,1.25,0.08,1.45,1.76,0.59,,,,,,
April,,1.63,2.12,0.39,1.29,0.41,,,,,,
May,,1.22,1.64,3.01,2.75,0.40,,,,,,
June,,1.09,2.24,3.02,2.31,3.42,,,,,,
July,,0.94,2.07,2.39,1.00,4.09,,,,,,
August,,2.78,3.55,4.63,0.84,6.78,,,,,,
September,,3.48,2.53,1.54,0.84,2.48,,,,,,
October,,2.80,1.56,4.03,1.86,1.24,,,,,,
November,,2.15,1.69,4.30,2.29,1.45,,,,,,
December,,2.01,0.90,2.10,2.70,1.61,,,,,,
Total,,21.17,21.03,30.95,19.72,27.12,,,,,,
Calc annual,0.00,21.17,21.03,30.95,19.72,27.12,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
