SOUTH-MOLTON-CENTRAL-PARK,,,,,,,,,,
Grid ref,SS716256,Long,-3.83185,Lat,51.0154,Elevation,430,ft,,
Station no,1834/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.56,5.24,4.93
February,,,,,,,,4.75,0.24,3.57
March,,,,,,,,1.19,4.77,1.94
April,,,,,,,,1.11,3.54,3.33
May,,,,,,,,3.82,1.14,1.43
June,,,,,,,,4.46,2.05,2.38
July,,,,,,,,3.33,3.21,6.5
August,,,,,,,,5.94,3.25,7.04
September,,,,,,,,5.71,0.44,5.18
October,,,,,,,,5.05,5.92,9.49
November,,,,,,,,4.39,7.91,6.1
December,,,,,,,,5.69,9.03,7.27
Total,,,,,,,,49,46.74,59.16
,,,,,,,,,,
1959 Site satisfactory Trees to SW may over shelter soon,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as South Molton SRC_ID 8919,,,,,,,,,,
1958-1983,,,,,,,,,,
