"WISBECH, LYNN ROAD P.STN.",,,,,,,,,,,,
Grid ref,TF465102,Long,0.165111,Lat,52.669715,,,,,,,
Station no,RR8728,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,-999.00,129.00,,4.35,1.56,2.30,2.04,3.26,,
February,,,,1.00,,0.98,2.55,3.46,0.14,1.45,,
March,,,,51.00,,0.58,1.84,1.47,1.74,1.54,,
April,,,,,,0.86,0.21,0.74,1.04,0.41,,
May,,,,,,0.85,1.59,2.20,0.50,0.61,,
June,,,,,,2.61,2.03,3.31,0.81,1.76,,
July,,,,,,2.50,2.37,3.10,2.98,3.20,,
August,,,,,,5.29,1.94,2.13,1.32,2.87,,
September,,,,,,1.35,4.37,2.12,0.03,2.03,,
October,,,,,,1.19,1.28,1.73,1.39,4.65,,
November,,,,,,0.82,1.87,0.99,1.22,3.45,,
December,,,,,,1.99,1.63,2.38,3.73,3.12,,
Total,,,,,,-999.00,23.24,25.93,16.94,28.35,,
Calc annual,0.00,0.00,0.00,181.00,0.00,23.37,23.24,25.93,16.94,28.35,,
Difference,NaN,NaN,NaN,NaN,NaN,-1022.37,0.00,0.00,0.00,0.00,,
