INNISDAIMH,,,,,,,,,,,,
Grid ref,NN468346,Long,-4.489048,Lat,56.478521,,,,,,,
Station no,5556/4/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,11.00,3.37,8.60,,
February,,,,,,,,4.76,4.96,9.02,,
March,,,,,,,,2.99,11.15,3.55,,
April,,,,,,,,5.03,7.48,11.51,,
May,,,,,,,,7.17,2.95,4.94,,
June,,,,,,,,4.12,6.36,3.68,,
July,,,,,,,,5.63,7.17,6.30,,
August,,,,,,,,9.77,6.05,5.73,,
September,,,,,,,,10.10,2.40,5.75,,
October,,,,,,,,10.08,10.87,6.48,,
November,,,,,,,,2.53,12.45,12.03,,
December,,,,,,,,12.40,18.88,12.90,,
Total,,,,,,,,85.58,94.09,90.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.58,94.09,90.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,,
