THIRSK SUTTON-UNDER-WHITESTONECLIFFE BROOK HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6007,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.75,1.80,3.17,2.92,1.36,3.60,0.34,3.66,,,,
February,2.29,1.01,1.49,1.07,1.05,3.14,2.90,0.54,,,,
March,0.70,2.12,2.93,2.23,1.92,1.10,2.70,2.28,,,,
April,1.85,1.26,0.12,3.15,0.71,1.06,1.11,1.38,,,,
May,1.95,0.85,2.45,1.63,1.40,1.17,2.70,0.92,,,,
June,1.79,2.11,5.24,1.60,1.62,0.30,2.46,1.18,,,,
July,2.63,0.65,3.53,0.54,4.62,4.45,1.91,1.63,,,,
August,3.54,3.32,4.39,0.82,1.49,3.11,1.94,6.03,,,,
September,0.21,2.34,1.97,1.35,1.29,0.79,0.66,0.64,,,,
October,2.78,2.05,2.53,2.21,1.97,0.87,3.04,2.96,,,,
November,3.21,3.74,3.62,1.99,2.78,2.03,2.58,2.13,,,,
December,2.62,3.94,1.08,1.96,4.88,4.33,1.73,1.21,,,,
Total,26.32,25.19,32.52,21.47,25.09,25.95,24.07,24.56,,,,
Calc annual,26.32,25.19,32.52,21.47,25.09,25.95,24.07,24.56,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,NaN,NaN,,
