"HARROGATE CEMETERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4464,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,2.59,0.79,4.50,3.18,2.05,4.37,1.00,4.78,2.84,1.38,,
February,2.72,2.98,3.15,1.69,1.41,2.49,3.15,2.54,1.30,4.34,,
March,2.16,1.55,2.31,3.39,2.64,1.66,5.01,2.76,1.03,1.61,,
April,0.79,3.14,3.51,0.95,1.32,0.48,2.30,4.23,2.29,2.85,,
May,1.33,1.04,1.64,2.68,1.66,1.20,0.75,1.96,4.69,1.50,,
June,1.48,4.24,4.70,1.90,0.81,2.42,1.52,2.43,4.64,5.35,,
July,0.69,2.38,5.90,2.65,2.33,2.86,2.54,4.78,0.62,4.24,,
August,1.35,1.86,4.48,2.76,2.90,2.81,2.37,5.15,5.80,4.92,,
September,0.88,6.63,5.18,2.18,2.25,2.00,4.19,4.89,2.43,1.69,,
October,7.56,3.24,5.10,2.39,2.74,4.64,2.93,4.01,2.60,0.97,,
November,2.85,1.29,5.23,2.22,2.48,4.39,3.29,3.80,4.39,1.22,,
December,3.74,2.08,4.18,0.70,3.79,1.35,7.39,2.52,2.21,1.30,,
Total,28.14,31.22,49.88,26.69,26.38,30.67,36.44,43.85,34.84,31.37,,
Calc annual,28.14,31.22,49.88,26.69,26.38,30.67,36.44,43.85,34.84,31.37,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
