"GAMMATON RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1862,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,6.15,
February,,,,,,,,,,,1.40,
March,,,,,,,,,,,2.58,
April,,,,,,,,,,,2.55,
May,,,,,,,,,,,1.93,
June,,,,,,,,,,,0.63,
July,,,,,,,,,,,4.60,
August,,,,,,,,,,,4.63,
September,,,,,,,,,,,4.99,
October,,,,,,,,,,,4.98,
November,,,,,,,,,,,4.00,
December,,,,,,,,,,,4.91,
Total,,,,,,,,,,,43.35,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.35,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
