DAWLISH BLYTH,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8936,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.24,0.99,,,,,,,,,,
February,4.87,1.27,,,,,,,,,,
March,0.59,2.66,,,,,,,,,,
April,2.10,1.23,,,,,,,,,,
May,2.03,0.83,,,,,,,,,,
June,2.02,2.16,,,,,,,,,,
July,2.91,0.74,,,,,,,,,,
August,3.88,0.57,,,,,,,,,,
September,0.27,1.44,,,,,,,,,,
October,4.49,3.69,,,,,,,,,,
November,4.09,3.91,,,,,,,,,,
December,5.92,8.74,,,,,,,,,,
Total,36.41,28.23,,,,,,,,,,
Calc annual,36.41,28.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
