"CARDROSS KILMAHEW CASTLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5318,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,5.50,4.10,8.70,8.01,3.97,7.75,2.70,,,,,
February,5.30,6.25,4.60,1.58,1.16,1.21,5.66,3.36,,,,
March,0.80,4.70,4.29,1.73,3.14,1.43,4.75,,,,,
April,1.60,5.25,0.93,0.42,2.08,1.78,2.11,,,,,
May,4.10,1.20,2.60,2.99,2.15,2.10,0.56,,,,,
June,1.65,2.90,6.86,2.12,1.06,3.14,3.67,,,,,
July,2.55,3.80,7.16,4.20,2.63,1.60,2.48,,,,,
August,1.65,3.80,3.58,4.56,5.51,3.40,5.26,,,,,
September,4.05,2.40,8.51,5.46,5.68,3.77,3.54,,,,,
October,6.30,4.90,3.54,6.74,7.04,5.71,6.75,,,,,
November,2.10,3.40,8.02,3.67,4.49,4.07,3.33,,,,,
December,3.50,6.15,6.84,2.83,1.82,2.86,7.42,,,,,
Total,39.10,48.85,65.63,44.31,40.73,38.82,48.23,,,,,
Calc annual,39.10,48.85,65.63,44.31,40.73,38.82,48.23,3.36,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
