BIDEFORD BEECHCROFT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8498,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,4.96,1.43,3.35,6.16,,,,,,,,
February,5.24,2.21,2.25,1.80,,,,,,,,
March,0.70,1.97,5.98,5.89,,,,,,,,
April,2.21,2.26,0.13,4.98,,,,,,,,
May,2.20,1.15,1.35,2.97,,,,,,,,
June,2.88,3.07,7.17,1.87,,,,,,,,
July,2.91,0.47,2.97,,,,,,,,,
August,4.27,3.09,8.17,,,,,,,,,
September,0.09,3.05,0.75,,,,,,,,,
October,5.68,3.99,5.27,,,,,,,,,
November,6.23,6.16,2.99,,,,,,,,,
December,5.53,7.87,7.05,,,,,,,,,
Total,42.90,36.72,47.43,,,,,,,,,
Calc annual,42.90,36.72,47.43,23.67,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
