BIELDSIDE (LETHERTON LODGE),,,,,,,,,,
Grid ref,NJ 87397 03515,Long,-2.209768,Lat,57.122392,Elevation,375,ft,,
Station no,5641/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.15,2.58,1.31,0.94,1.55,3.77,2.87,4.79,,
February,3.62,1.31,1.16,2.37,3.02,2.17,2.49,4.3,,
March,3.14,4,0.36,2.95,2.12,1.47,2.24,5.53,,
April,2.26,1.92,2.95,2,0.98,1.71,1.43,1.71,,
May,2.07,2.65,3.38,4.48,3.47,0.55,1.49,3.15,,
June,2.2,2.68,2.49,2.73,1.9,2.12,2.43,1.99,,
July,4.08,1.6,4.3,3.64,0.86,5.55,6.83,5.87,,
August,4.45,4.59,2.85,3.21,0.55,3.77,4.47,4,,
September,1.32,1.54,4.04,1.34,1.45,6.43,1.88,2.37,,
October,0.85,2.53,1.84,5.2,5.05,2.59,1.27,2.22,,
November,8.76,3.98,2.17,5.52,2.62,1.88,1.87,0.56,,
December,2.5,2.67,3.02,4.82,6.26,3.99,3.75,5.27,,
Total,36.4,32.05,29.87,39.2,29.83,36,33.02,41.76,,
,,,,,,,,,,
1957 T corrected,,,,,,,,,,
,,,,,,,,,,
Station no,5641/6,,,,,,,,,
Midas,14990,,,,,,,,,
Hyd Stn,849712,,,,,,,,,
