STANMORE OBSERVATORY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8097,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.28,1.85,0.84,1.72,2.80,2.32,0.86,2.04,0.75,,,
February,0.86,0.01,1.38,2.98,1.81,0.14,0.45,2.83,1.00,,,
March,2.14,1.68,1.16,0.52,1.58,1.67,2.74,4.03,1.39,,,
April,1.46,0.94,0.71,0.11,1.67,1.90,0.61,1.92,1.26,,,
May,1.76,2.79,1.59,1.04,2.07,0.41,0.28,1.19,2.85,,,
June,2.71,0.94,2.58,0.81,2.09,0.46,1.96,2.87,,,,
July,5.54,3.36,2.15,3.11,2.67,4.26,0.94,0.78,,,,
August,2.04,3.87,4.02,1.84,3.89,2.89,3.29,3.01,,,,
September,0.35,1.48,2.76,1.25,1.28,1.27,7.34,2.14,,,,
October,1.10,5.49,3.39,4.32,3.61,2.87,2.92,0.76,,,,
November,2.08,1.92,2.03,2.39,3.77,4.25,1.42,0.85,,,,
December,0.87,3.77,1.38,2.81,2.06,2.20,3.97,2.39,,,,
Total,23.19,28.10,23.99,22.90,29.30,24.64,26.78,24.81,,,,
Calc annual,23.19,28.10,23.99,22.90,29.30,24.64,26.78,24.81,7.25,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
