"WAINFLEET BRIDGE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4241,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.65,1.85,2.74,2.86,1.40,2.90,1.26,2.89,2.06,2.28,,
February,2.42,1.58,1.47,0.65,0.88,2.28,3.90,1.94,1.27,1.98,,
March,0.72,2.49,1.82,2.55,2.60,1.25,4.27,1.20,0.66,2.52,,
April,2.42,1.07,0.18,2.02,0.88,0.47,2.12,2.11,2.16,1.44,,
May,2.25,0.99,2.92,1.82,1.02,1.26,1.69,0.93,2.20,0.84,,
June,1.14,3.56,2.82,0.91,2.25,0.51,2.38,2.40,0.66,0.97,,
July,3.87,0.51,4.27,0.86,1.20,6.24,1.70,1.33,3.54,3.21,,
August,2.56,2.03,5.14,0.75,1.52,2.65,2.65,5.43,1.44,2.81,,
September,1.08,2.73,1.87,1.89,0.97,0.83,1.12,1.27,4.74,1.59,,
October,1.74,2.60,2.29,3.73,1.76,1.56,2.25,3.32,1.86,1.87,,
November,2.91,2.87,3.10,1.91,2.55,3.73,2.78,1.65,1.87,2.33,,
December,3.56,3.49,2.97,0.57,4.46,5.07,3.41,1.44,3.41,3.91,,
Total,26.32,25.77,31.59,20.52,21.49,28.75,29.53,25.91,25.87,25.75,,
Calc annual,26.32,25.77,31.59,20.52,21.49,28.75,29.53,25.91,25.87,25.75,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
