NEWPORT THE CASTLE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6449,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,3.13,3.61,7.33,4.40,,,,,,
February,,,2.23,5.58,3.51,0.12,,,,,,
March,,,1.66,0.78,3.15,4.68,,,,,,
April,,,1.34,0.19,2.75,3.91,,,,,,
May,,,2.74,1.37,4.23,0.18,,,,,,
June,,,2.75,1.24,1.76,0.74,,,,,,
July,,,2.02,1.77,3.64,4.51,,,,,,
August,,,3.80,4.06,3.75,4.01,,,,,,
September,,,3.32,2.23,1.94,0.74,,,,,,
October,,,4.07,4.41,6.39,5.17,,,,,,
November,,,4.44,3.86,7.75,5.58,,,,,,
December,,,1.84,6.38,4.95,2.78,,,,,,
Total,,,33.34,35.48,51.15,36.82,,,,,,
Calc annual,0.00,0.00,33.34,35.48,51.15,36.82,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
