HERM-(HARBOUR),,,,,,,,,,
Grid ref,WV396798 ,Long,-2.45285,Lat,49.46957,Elevation,20,ft,,
Station no,4445,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,4.26,1.41,0.91,1.84
February,,,,,,,3.42,1.73,2.1,0.89
March,,,,,,,1.41,0.62,3.13,
April,,,,,,,1.03,2.51,2.17,
May,,,,,,,2.46,3.29,1.38,0.93
June,,,,,,,1.09,1.39,0.33,
July,,,,,,,0.57,1.28,1.56,
August,,,,,,,0.79,1.69,1.96,
September,,,,,,,1.54,1.46,2.76,
October,,,,,,,4.05,6.72,1.71,
November,,,,,,,4.78,,1.35,
December,,,,,,,2.49,,3.63,
Total,,,,,,,27.89,,22.99,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Exact location unknown – about 250 ft north of White House,,,,,,,,,,
