RUDGEWAY (LOWER HAZEL),,,,,,,,,,,,
Grid ref,ST623872,Long,-2.545491,Lat,51.582389,,,,,,,
Station no,2140/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.75,3.45,3.02,2.40,3.34,3.27,,
February,,,,,1.60,0.33,2.92,3.46,0.32,2.66,,
March,,,,,1.48,0.61,3.17,1.05,2.78,1.94,,
April,,,,,1.04,2.31,0.13,1.03,3.07,1.25,,
May,,,,,3.98,0.52,1.37,3.05,1.05,1.19,,
June,,,,,2.74,2.51,1.31,4.01,2.00,2.08,,
July,,,,,0.11,2.54,3.49,2.49,2.50,3.68,,
August,,,,,1.06,4.13,2.80,3.09,1.79,4.88,,
September,,,,,1.13,2.76,3.54,5.35,0.10,4.28,,
October,,,,,1.41,1.48,2.97,2.26,3.31,5.74,,
November,,,,,3.62,0.85,2.28,2.53,3.40,4.81,,
December,,,,,3.04,3.92,2.29,3.44,6.07,4.03,,
Total,,,,,23.96,25.41,29.29,34.16,29.73,39.81,,
Calc annual,0.00,0.00,0.00,0.00,23.96,25.41,29.29,34.16,29.73,39.81,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
