COULSDON (MIDDAY SUN ALLOTMENTS),,,,,,,,,,,,
Grid ref,TQ294587,Long,-0.144758,Lat,51.312708,,,,,,,
Station no,92/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.05,1.37,3.15,4.60,2.27,2.74,2.90,3.00,,
February,,,1.50,2.75,1.91,0.61,4.18,2.22,0.08,2.44,,
March,,,0.42,2.40,1.41,0.98,1.20,1.78,2.72,2.23,,
April,,,2.59,0.33,0.25,1.89,0.22,1.48,2.74,0.84,,
May,,,1.88,3.18,4.14,0.47,1.61,2.78,1.39,1.82,,
June,,,1.74,4.39,2.06,3.00,0.84,4.23,2.12,1.66,,
July,,,3.70,2.63,0.90,5.13,3.01,2.07,1.30,3.30,,
August,,,1.54,3.23,1.50,3.55,3.08,3.34,1.27,3.37,,
September,,,3.44,2.37,2.21,2.89,3.06,5.28,0.25,3.13,,
October,,,3.96,2.15,3.71,1.82,1.84,3.53,2.65,6.36,,
November,,,1.51,5.41,1.19,0.88,3.14,1.97,3.98,5.39,,
December,,,0.60,2.08,2.69,4.05,2.69,3.70,5.63,3.27,,
Total,,,23.93,32.29,25.12,29.87,27.14,35.12,27.03,36.81,,
Calc annual,0.00,0.00,23.93,32.29,25.12,29.87,27.14,35.12,27.03,36.81,,
Difference,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
