COCKERMOUTH (WATERWORKS),,,,,,,,,,,,
Grid ref,NY126297,Long,-3.356210,Lat,54.654790,,,,,,,
Station no,3646/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.55,2.04,3.29,2.86,2.80,4.55,,,,,
February,,0.90,1.51,3.19,0.99,0.71,3.19,,,,,
March,,1.58,0.54,2.51,1.27,1.46,2.84,,,,,
April,,2.65,3.10,1.10,2.48,1.15,1.23,,,,,
May,,2.90,2.02,4.45,3.32,3.17,2.26,,,,,
June,1.24,3.28,1.53,5.01,4.29,1.79,1.63,,,,,
July,2.59,3.29,7.25,5.02,2.70,4.70,4.11,,,,,
August,4.16,8.21,4.32,4.79,2.06,8.64,4.66,,,,,
September,5.10,4.05,5.99,7.26,1.91,3.98,5.43,,,,,
October,1.40,3.33,2.26,10.25,2.18,3.18,5.17,,,,,
November,7.43,2.35,7.00,8.21,1.30,1.74,1.54,,,,,
December,7.34,4.52,2.69,5.71,4.69,5.73,4.21,,,,,
Total,,40.61,40.25,60.79,30.05,39.05,40.82,,,,,
Calc annual,29.26,40.61,40.25,60.79,30.05,39.05,40.82,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
