BLACKPOOL ARNOLD HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6768,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,4.12,4.11,,,,,,,,
February,,,2.68,0.92,,,,,,,,
March,,,3.59,3.45,,,,,,,,
April,,,1.24,0.56,,,,,,,,
May,,,1.77,2.03,,,,,,,,
June,,,3.80,2.06,,,,,,,,
July,,,6.99,2.83,,,,,,,,
August,,,2.56,2.71,,,,,,,,
September,,,7.15,2.51,,,,,,,,
October,,,5.42,3.84,,,,,,,,
November,,,3.04,1.62,,,,,,,,
December,,,4.08,1.35,,,,,,,,
Total,,,46.44,27.99,,,,,,,,
Calc annual,0.00,0.00,46.44,27.99,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
