"LUTON (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TL121180,Long,-0.373951,Lat,51.849350,,,,,,,
Station no,1159,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,1.74,0.99,1.04,2.11,3.90,0.97,2.33,3.04,2.63,,
February,4.31,0.62,1.31,2.25,1.66,0.35,2.44,2.51,0.04,2.52,,
March,2.83,2.44,0.67,2.17,1.00,0.94,1.11,1.67,2.02,1.72,,
April,3.13,1.78,2.11,0.25,0.42,1.06,0.25,1.26,1.88,0.46,,
May,2.71,1.93,1.59,2.50,4.59,0.40,1.15,1.91,0.66,1.68,,
June,0.77,0.99,2.20,3.75,2.21,3.71,1.32,4.39,1.11,1.48,,
July,1.51,0.36,2.52,2.94,0.27,2.17,1.79,2.12,4.17,2.98,,
August,3.48,3.66,1.41,3.18,1.07,5.17,2.49,2.68,1.64,3.67,,
September,3.01,4.21,1.98,1.67,1.17,2.05,2.80,3.46,0.15,3.32,,
October,1.31,2.56,2.52,1.90,3.03,1.73,2.47,2.22,1.90,5.89,,
November,4.51,4.12,1.18,4.43,1.55,0.88,1.74,2.41,2.02,3.72,,
December,1.72,2.64,0.55,2.06,2.14,3.41,2.18,3.06,4.04,3.91,,
Total,32.11,27.05,19.03,28.14,21.22,25.77,20.71,30.02,22.67,33.98,,
Calc annual,32.11,27.05,19.03,28.14,21.22,25.77,20.71,30.02,22.67,33.98,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
