"HAYLING ISLAND",,,,,,,,,,,,
Grid ref,SZ716988,Long,-0.985702,Lat,50.784362,,,,,,,
Station no,673/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.20,3.99,2.07,3.88,3.17,3.59,,
February,,,,,1.37,0.12,4.11,2.40,0.08,3.38,,
March,,,,,1.12,0.23,1.49,1.09,1.98,1.77,,
April,,,,,0.28,1.57,0.10,0.61,1.70,0.74,,
May,,,,,3.57,0.37,0.58,2.63,0.34,1.31,,
June,,,,,2.40,1.68,1.45,2.76,0.26,1.94,,
July,,,,2.81,0.37,2.73,3.77,1.64,2.12,2.84,,
August,,,,2.26,1.07,3.18,2.34,3.86,4.27,4.51,,
September,,,,2.40,1.93,2.84,3.20,3.67,0.10,4.76,,
October,,,,2.33,1.90,1.42,1.74,2.05,2.35,6.49,,
November,,,,5.12,1.71,0.65,2.94,2.32,3.77,5.33,,
December,,,,2.55,4.31,4.00,2.01,3.37,6.72,3.84,,
Total,,,,,23.23,22.78,25.80,30.28,26.86,40.50,,
Calc annual,0.00,0.00,0.00,17.47,23.23,22.78,25.80,30.28,26.86,40.50,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
