"KYRE",,,,,,,,,,,,
Grid ref,SO639621,Long,-2.530279,Lat,52.255878,,,,,,,
Station no,2389/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.46,,
February,,,,,,,,,,2.63,,
March,,,,,,,,,,2.39,,
April,,,,,,,,,,1.32,,
May,,,,,,,,,1.47,1.22,,
June,,,,,,,,,1.73,2.85,,
July,,,,,,,,,2.34,2.65,,
August,,,,,,,,,2.54,4.54,,
September,,,,,,,,,0.19,5.08,,
October,,,,,,,,,2.46,7.26,,
November,,,,,,,,,4.35,4.51,,
December,,,,,,,,,6.40,3.80,,
Total,,,,,,,,,,43.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.48,43.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
