"MARTINDALE (HALLIN BANK)",,,,,,,,,,,,
Grid ref,NY430192,Long,-2.883046,Lat,54.564800,,,,,,,
Station no,3684/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,8.78,,
February,,,,,,,,,,8.82,,
March,,,,,,,,,,1.96,,
April,,,,,,,,,,5.33,,
May,,,,,,,,,,2.78,,
June,,,,,,,,,,3.54,,
July,,,,,,,,,,4.52,,
August,,,,,,,,,,3.54,,
September,,,,,,,,,,3.95,,
October,,,,,,,,,,5.65,,
November,,,,,,,,,10.20,6.00,,
December,,,,,,,,,11.38,8.38,,
Total,,,,,,,,,,63.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.58,63.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
