"DURSTON (WEST NEWTON FARM)",,,,,,,,,,,,
Grid ref,ST287291,Long,-3.018710,Lat,51.056796,,,,,,,
Station no,2077/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.06,4.42,3.00,2.19,2.14,3.04,2.96,,
February,,,,2.36,2.27,0.18,3.73,3.00,0.29,3.10,,
March,,,,3.71,1.00,0.54,1.62,0.75,3.30,2.08,,
April,,,,0.18,0.91,1.57,0.04,0.56,2.44,2.46,,
May,,,,1.86,3.58,0.39,1.52,2.17,0.87,1.93,,
June,,,,2.37,2.27,1.15,2.75,2.80,1.04,1.16,,
July,,,,2.42,1.06,2.11,2.92,1.69,1.53,3.27,,
August,,,,2.89,0.82,2.63,2.31,2.63,1.30,3.47,,
September,,,,3.32,1.17,4.06,3.00,3.90,0.05,2.95,,
October,,,,1.98,1.42,1.82,2.26,1.77,3.26,10.04,,
November,,,,5.74,3.39,0.60,1.93,3.03,4.84,2.80,,
December,,,,2.68,5.15,3.75,2.36,3.70,5.74,3.35,,
Total,,,,31.57,27.46,21.80,26.63,28.14,27.70,39.57,,
Calc annual,0.00,0.00,0.00,31.57,27.46,21.80,26.63,28.14,27.70,39.57,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
