"BOTHWELL (SEWAGE PURIFICATION WORKS)",,,,,,,,,,,,
Grid ref,NS714576,Long,-4.052762,Lat,55.794531,,,,,,,
Station no,5203/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.20,1.88,1.89,4.84,3.21,1.11,,,
February,,,,3.07,2.08,1.27,2.79,2.18,1.22,,,
March,,,,2.23,1.46,1.78,2.59,0.84,1.49,,,
April,,,,1.33,0.71,0.91,1.53,1.24,1.93,,,
May,,,,2.98,2.66,1.44,2.36,2.26,1.16,,,
June,,,,2.37,0.86,2.71,1.59,2.72,2.83,,,
July,,,,2.58,1.18,4.05,3.37,4.59,4.38,,,
August,,,,4.15,1.15,5.29,3.22,4.30,1.38,,,
September,,,,4.99,2.88,4.30,2.36,3.85,0.69,,,
October,,,,7.72,2.07,2.79,3.26,2.50,3.48,,,
November,,,,5.30,1.48,1.05,1.35,1.28,4.20,,,
December,,,,4.60,5.02,4.00,2.94,3.73,4.08,,,
Total,,,,45.52,23.43,31.48,32.20,32.70,27.95,,,
Calc annual,0.00,0.00,0.00,45.52,23.43,31.48,32.20,32.70,27.95,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
