"BLAIRGOWRIE (CEMETERY)",,,,,,,,,,,,
Grid ref,NO175438,Long,-3.344555,Lat,56.578853,,,,,,,
Station no,5566/83,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,2.09,,
July,,,,,,,,,,2.86,,
August,,,,,,,,,,5.04,,
September,,,,,,,,,,1.95,,
October,,,,,,,,,,5.08,,
November,,,,,,,,,,3.75,,
December,,,,,,,,,,2.21,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
