"GREAT BROUGHTON",,,,,,,,,,,,
Grid ref,NY072315,Long,-3.440453,Lat,54.669995,,,,,,,
Station no,3649/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,3.33,,
March,,,,,,,,,,0.91,,
April,,,,,,,,,,2.65,,
May,,,,,,,,,,1.52,,
June,,,,,,,,,,1.36,,
July,,,,,,,,,,4.97,,
August,,,,,,,,,,5.25,,
September,,,,,,,,,,3.77,,
October,,,,,,,,,,2.01,,
November,,,,,,,,,,6.49,,
December,,,,,,,,,,3.60,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
