"DALMELLINGTON (MASSDALE FILTERS) NEW SITE",,,,,,,,,,,,
Grid ref,NS495043,Long,-4.372732,Lat,55.309703,,,,,,,
Station no,5258/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.46,4.56,,
February,,,,,,,,,2.40,7.08,,
March,,,,,,,,,4.08,2.06,,
April,,,,,,,,,4.17,5.33,,
May,,,,,,,,,1.67,1.90,,
June,,,,,,,,,3.43,3.02,,
July,,,,,,,,,6.11,4.71,,
August,,,,,,,,,1.52,4.32,,
September,,,,,,,,,2.03,3.37,,
October,,,,,,,,,8.41,4.24,,
November,,,,,,,,,7.73,11.14,,
December,,,,,,,,,8.80,6.57,,
Total,,,,,,,,,52.81,58.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.81,58.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
