"KILSYTH ( COLZIUM LENNOX HOUSE )",,,,,,,,,,,,
Grid ref,NS727786,Long,-4.041923,Lat,55.983437,,,,,,,
Station no,5381/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.34,6.74,4.30,1.72,4.43,,
February,,,,,,1.91,3.94,2.97,2.28,3.59,,
March,,,,,,3.64,6.20,2.35,2.54,2.15,,
April,,,,,,1.49,2.50,1.80,3.70,4.13,,
May,,,,,,3.12,2.91,4.35,1.68,3.17,,
June,,,,,,3.13,2.60,3.89,2.94,3.66,,
July,,,,,,6.12,4.62,5.16,6.70,4.11,,
August,,,,,,5.20,5.07,6.04,1.69,4.16,,
September,,,,,,6.42,3.56,4.40,1.51,2.79,,
October,,,,,,4.48,5.92,3.89,4.91,4.03,,
November,,,,,,1.86,2.40,2.62,7.10,6.45,,
December,,,,,,5.70,5.71,6.22,7.15,6.10,,
Total,,,,,,46.41,52.17,47.99,43.92,48.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,46.41,52.17,47.99,43.92,48.77,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
