"LISLAP FOREST",,,,,,,,,,,,
Grid ref,ZZ999999,Long,NaN,Lat,NaN,,,,,,,
Station no,6252/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.54,,
February,,,,,,,,,,5.49,,
March,,,,,,,,,,3.11,,
April,,,,,,,,,,3.52,,
May,,,,,,,,,1.68,3.46,,
June,,,,,,,,,2.37,3.76,,
July,,,,,,,,,3.67,7.55,,
August,,,,,,,,,1.86,5.10,,
September,,,,,,,,,2.08,3.93,,
October,,,,,,,,,5.81,4.32,,
November,,,,,,,,,6.64,4.98,,
December,,,,,,,,,7.98,4.95,,
Total,,,,,,,,,,53.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.09,53.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
