"WADDINGTON AIRFIELD",,,,,,,,,,,,
Grid ref,SK984650,Long,-0.529321,Lat,53.173024,,,,,,,
Station no,2554/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.89,1.19,0.90,,,4.67,1.11,1.95,2.30,4.55,,
February,2.70,0.31,1.37,,,1.02,1.92,3.62,0.32,1.80,,
March,3.22,2.37,0.98,,,0.67,1.46,1.74,1.93,1.31,,
April,1.48,0.89,1.95,,,1.31,0.19,0.39,1.55,0.87,,
May,3.57,1.54,2.98,,,0.48,1.55,1.73,0.73,0.76,,
June,1.13,2.72,1.96,,3.76,3.81,1.60,4.80,0.53,0.63,,
July,0.79,0.28,1.55,,1.59,2.85,2.78,4.97,1.18,3.58,,
August,5.17,1.99,,,0.38,5.02,2.84,2.84,0.65,5.05,,
September,0.83,2.03,,,1.49,1.68,4.02,2.09,0.09,2.34,,
October,1.61,2.56,,,1.06,0.95,0.99,1.43,1.93,4.57,,
November,4.80,2.23,,,1.07,0.78,2.05,0.76,1.63,2.84,,
December,1.28,1.47,,,1.48,1.25,1.40,2.88,2.85,3.24,,
Total,28.47,19.58,,,,24.49,21.91,29.20,15.69,31.54,,
Calc annual,28.47,19.58,11.69,0.00,10.83,24.49,21.91,29.20,15.69,31.54,,
Difference,-0.00,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
