"SOUTH PETHERTON (NEW CROSS FARM)",,,,,,,,,,,,
Grid ref,ST416191,Long,-2.833058,Lat,50.968343,,,,,,,
Station no,2065/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,0.71,,
August,,,,,,,,,,3.60,,
September,,,,,,,,,,3.88,,
October,,,,,,,,,,8.93,,
November,,,,,,,,,,3.64,,
December,,,,,,,,,,2.79,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
