"SPILSBY (FORDINGTON WATERWORKS)",,,,,,,,,,,,
Grid ref,TF415714,Long,0.117911,Lat,53.220813,,,,,,,
Station no,2564/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,2.03,0.94,1.78,1.97,5.92,1.78,2.53,4.16,4.80,,
February,3.42,0.77,1.89,2.48,2.97,1.31,2.95,3.85,0.21,3.43,,
March,3.07,3.30,0.74,1.98,2.47,0.96,1.47,2.17,2.08,1.29,,
April,2.70,1.39,3.42,0.40,1.09,1.23,0.34,1.04,1.86,1.07,,
May,4.25,1.42,2.36,3.93,4.67,0.55,1.74,3.16,0.53,0.64,,
June,1.23,1.76,3.79,2.15,3.39,3.00,1.56,3.10,1.17,0.38,,
July,0.66,0.41,1.39,1.72,0.56,3.12,2.63,5.89,2.00,3.80,,
August,4.00,1.71,2.28,3.74,1.30,4.45,3.09,1.50,1.24,3.17,,
September,1.47,3.12,1.05,2.26,1.11,1.88,4.09,2.11,0.23,2.29,,
October,1.14,2.77,2.28,3.32,1.82,1.20,1.48,1.74,1.88,5.34,,
November,4.17,2.35,1.63,4.19,1.60,0.85,2.27,0.93,2.62,4.00,,
December,1.11,2.25,0.90,2.25,2.17,1.63,2.29,3.56,4.80,4.71,,
Total,30.03,23.28,22.67,30.20,25.12,26.10,25.69,31.58,22.78,34.92,,
Calc annual,30.03,23.28,22.67,30.20,25.12,26.10,25.69,31.58,22.78,34.92,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
