"BEDFORD RESERVIOR",,,,,,,,,,,,
Grid ref,TL041514,Long,-0.479914,Lat,52.151081,,,,,,,
Station no,1180/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.74,2.56,3.40,2.30,,
February,,,,,,,2.16,2.48,0.12,1.97,,
March,,,,,,,1.45,1.74,2.62,1.88,,
April,,,,,,,0.20,0.84,1.66,0.26,,
May,,,,,,,1.39,1.78,0.64,1.46,,
June,,,,,,,2.26,5.41,0.87,2.13,,
July,,,,,,,2.07,2.40,2.34,4.13,,
August,,,,,,,2.23,2.20,0.57,2.70,,
September,,,,,,,3.37,2.52,0.04,3.64,,
October,,,,,,,1.63,1.98,1.88,4.18,,
November,,,,,,,1.47,1.72,1.62,3.07,,
December,,,,,,,2.35,2.16,3.21,3.26,,
Total,,,,,,,21.32,27.79,18.97,30.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.32,27.79,18.97,30.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
