"TRAWSCOED",,,,,,,,,,,,
Grid ref,SN674736,Long,-3.947955,Lat,52.344395,,,,,,,
Station no,4124/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.12,5.33,2.10,4.17,2.45,5.51,4.32,3.95,5.46,7.34,,
February,4.32,2.73,2.82,4.26,2.24,0.65,3.80,6.74,0.97,4.19,,
March,6.31,2.12,4.00,3.36,2.84,2.21,3.74,0.69,3.21,1.75,,
April,4.25,2.56,3.87,1.50,2.83,1.72,0.37,1.42,4.05,2.93,,
May,2.07,3.58,1.73,2.89,5.36,1.24,1.80,3.53,1.14,1.58,,
June,1.09,3.55,1.60,5.31,4.27,2.03,2.65,3.97,2.86,2.93,,
July,3.53,1.53,4.99,5.49,0.86,4.23,6.21,5.18,3.83,4.15,,
August,6.78,4.11,3.78,4.64,1.60,6.74,6.65,4.06,1.84,6.24,,
September,4.25,4.15,4.95,4.49,3.62,5.43,8.65,7.76,0.59,6.74,,
October,1.49,5.13,2.99,8.64,3.39,2.93,5.55,4.74,5.87,4.12,,
November,7.36,3.68,4.52,7.88,2.29,2.98,3.51,4.42,6.45,6.95,,
December,6.38,4.47,1.48,5.37,4.74,4.32,3.37,3.30,7.37,6.68,,
Total,51.95,42.94,38.83,58.00,36.49,39.99,50.62,49.76,43.64,55.60,,
Calc annual,51.95,42.94,38.83,58.00,36.49,39.99,50.62,49.76,43.64,55.60,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
