"WELLS (CHAMBERLAIN ST.)",,,,,,,,,,,,
Grid ref,ST535452,Long,-2.666970,Lat,51.204107,,,,,,,
Station no,2018/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.17,2.19,3.30,3.51,,
February,,,,,,0.11,3.50,3.63,0.21,1.94,,
March,,,,,,1.15,2.34,1.08,3.87,2.10,,
April,,,,,,0.93,0.00,1.03,2.04,1.88,,
May,,,,,,0.48,2.10,2.56,1.53,1.77,,
June,,,,,,0.48,2.36,3.65,1.56,2.41,,
July,,,,,,1.90,4.11,2.66,2.33,4.73,,
August,,,,,,3.10,2.19,4.59,0.75,6.04,,
September,,,,,,4.18,3.97,3.88,0.33,3.34,,
October,,,,,,2.93,2.71,2.52,2.85,6.59,,
November,,,,,,0.61,1.75,2.95,3.85,3.34,,
December,,,,,,2.33,2.81,4.18,5.85,3.11,,
Total,,,,,,,31.01,34.92,28.47,40.76,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.20,31.01,34.92,28.47,40.76,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
