"PEDMORE (BECKMAN ROAD)",,,,,,,,,,,,
Grid ref,SO913826,Long,-2.129415,Lat,52.441297,,,,,,,
Station no,2418,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.48,2.48,0.98,0.98,2.69,3.16,1.34,2.40,2.95,5.18,,
February,2.96,0.51,1.50,2.65,2.04,0.54,2.60,4.34,0.27,2.41,,
March,4.41,1.82,1.28,2.09,2.72,1.11,2.38,1.08,2.37,2.08,,
April,2.31,2.02,2.83,0.58,1.42,1.32,0.16,0.52,3.25,1.13,,
May,3.36,2.66,2.12,2.99,4.85,0.60,1.53,2.23,0.99,1.62,,
June,0.98,1.52,2.23,3.06,2.83,2.10,1.38,3.84,1.04,2.30,,
July,1.45,1.05,3.81,3.77,0.61,3.02,4.64,4.55,1.57,3.55,,
August,4.40,4.97,2.18,5.19,0.67,4.61,4.14,2.96,1.52,3.06,,
September,3.93,1.58,3.05,1.83,1.58,3.07,4.60,3.48,0.13,5.54,,
October,0.67,4.45,1.88,2.98,1.86,1.89,1.43,2.23,2.75,6.78,,
November,6.51,2.25,1.78,4.82,3.21,0.72,2.17,1.99,3.85,4.23,,
December,2.59,2.78,1.18,1.54,2.35,2.60,2.23,2.96,4.59,3.11,,
Total,36.05,28.09,24.82,32.48,26.83,24.74,28.60,32.58,25.28,40.99,,
Calc annual,36.05,28.09,24.82,32.48,26.83,24.74,28.60,32.58,25.28,40.99,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,,
