"CHELSEA, COLLEGE OF S. MARK & S. JOHN",,,,,,,,,,,,
Grid ref,TQ259773,Long,-0.188357,Lat,51.480653,,,,,,,
Station no,30/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.57,3.38,1.44,1.82,2.19,1.50,,
February,,,,2.24,1.26,0.17,2.88,2.29,0.06,2.33,,
March,,,,2.18,0.90,0.91,0.89,1.27,1.69,1.65,,
April,,,,0.32,0.25,0.89,0.27,1.44,2.27,0.62,,
May,,,,2.50,4.35,0.25,1.16,2.53,0.65,1.67,,
June,,,,3.51,1.90,1.83,0.92,4.79,0.93,0.86,,
July,,,,1.80,0.82,3.58,3.16,1.67,1.16,3.03,,
August,,,,3.25,0.74,4.40,2.08,3.43,0.96,3.51,,
September,,,,1.67,1.60,1.78,2.20,3.63,0.09,3.47,,
October,,,,1.41,2.43,1.65,1.68,2.48,1.85,4.87,,
November,,,,3.39,0.55,0.45,2.44,1.72,2.43,3.30,,
December,,,,1.79,1.69,2.12,1.99,2.71,2.99,2.15,,
Total,,,,,18.06,21.41,21.11,29.78,17.27,28.96,,
Calc annual,0.00,0.00,0.00,24.06,18.06,21.41,21.11,29.78,17.27,28.96,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
