"URSWICK VICARAGE",,,,,,,,,,,,
Grid ref,SD268742,Long,-3.122457,Lat,54.158371,,,,,,,
Station no,3017/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.13,,2.63,3.92,2.76,4.90,4.68,4.54,3.08,7.80,,
February,4.70,,1.71,4.20,2.33,0.68,3.52,7.31,1.15,3.58,,
March,5.24,,0.52,2.79,2.40,1.17,3.31,1.86,2.67,1.41,,
April,1.62,,3.14,1.03,2.94,1.40,0.88,1.52,3.30,3.05,,
May,1.70,,2.79,2.93,3.28,2.48,3.59,4.96,0.85,2.93,,
June,0.85,,1.70,4.58,3.58,2.45,2.51,4.73,4.04,2.15,,
July,3.32,,5.44,5.29,2.62,5.90,3.52,3.06,3.36,7.06,,
August,5.17,5.41,5.10,6.38,2.39,9.54,4.41,4.80,0.30,4.46,,
September,5.21,4.23,5.61,7.74,3.82,3.46,7.97,5.92,1.40,4.92,,
October,1.06,3.64,2.78,9.28,3.11,4.04,6.71,4.69,5.77,4.39,,
November,9.02,2.36,6.77,9.13,2.10,1.52,1.67,2.85,5.70,7.78,,
December,9.47,5.67,3.16,5.20,5.76,4.77,5.36,4.64,8.31,5.14,,
Total,53.49,,41.35,62.47,37.09,42.31,48.13,50.88,39.93,54.67,,
Calc annual,53.49,21.31,41.35,62.47,37.09,42.31,48.13,50.88,39.93,54.67,,
Difference,-0.00,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
