"STRANRAER FILTERS",,,,,,,,,,,,
Grid ref,NX036619,Long,-5.065573,Lat,54.913072,,,,,,,
Station no,5001/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.94,4.35,5.36,4.33,6.80,2.37,5.53,,
February,,,,5.39,4.63,1.52,3.60,5.49,2.10,4.61,,
March,,,,5.47,1.88,1.80,4.96,1.87,3.49,2.35,,
April,,,,1.19,2.83,1.13,1.38,1.50,2.99,3.81,,
May,,,,3.34,3.67,1.73,1.81,2.29,0.96,2.01,,
June,,,,4.54,4.23,2.62,1.90,4.35,3.03,2.93,,
July,,,,4.41,1.74,4.56,5.06,4.74,2.79,7.19,,
August,,,,4.52,1.83,6.87,3.48,4.54,0.80,4.35,,
September,,,,5.38,3.99,3.61,6.48,4.63,2.55,4.16,,
October,,,,8.98,3.28,3.22,5.29,3.46,6.09,6.50,,
November,,,,9.25,3.89,2.21,2.23,3.22,4.79,7.42,,
December,,,,6.68,5.04,5.35,6.27,6.36,8.80,4.95,,
Total,,,,64.09,41.36,39.98,46.79,49.25,40.76,55.81,,
Calc annual,0.00,0.00,0.00,64.09,41.36,39.98,46.79,49.25,40.76,55.81,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
