"BEESTON (STANDARDS LABORATORY)",,,,,,,,,,,,
Grid ref,SK542364,Long,-1.195284,Lat,52.922288,,,,,,,
Station no,2601/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,2.11,0.95,1.30,2.26,3.15,1.22,2.43,2.85,4.75,,
February,2.90,0.68,1.50,2.16,1.70,0.54,2.35,3.48,0.16,1.83,,
March,3.88,2.57,1.18,1.81,2.40,0.80,2.10,1.58,1.37,1.53,,
April,1.40,1.87,1.91,0.33,0.97,1.53,0.25,0.80,2.44,1.04,,
May,3.21,3.49,1.82,2.32,3.74,0.48,1.04,1.89,0.44,1.29,,
June,1.50,2.33,2.93,3.00,3.71,3.05,1.40,4.51,1.24,2.18,,
July,1.00,0.63,1.81,1.90,0.71,2.68,2.77,3.93,1.66,3.23,,
August,5.40,2.50,1.99,4.13,0.37,5.85,3.68,2.47,0.98,3.79,,
September,1.52,1.51,1.63,2.41,0.66,2.07,6.11,2.06,0.06,3.86,,
October,0.93,2.59,2.52,2.86,1.66,1.42,1.13,2.28,1.97,4.66,,
November,5.29,2.02,1.22,4.33,1.44,0.71,1.93,1.27,2.06,2.68,,
December,1.77,2.00,0.80,2.16,1.65,1.90,1.79,2.67,2.91,3.05,,
Total,31.38,24.30,20.26,28.71,21.27,24.18,25.77,29.37,18.14,33.89,,
Calc annual,31.38,24.30,20.26,28.71,21.27,24.18,25.77,29.37,18.14,33.89,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
