"HORSHAM (NORTH PARADE)",,,,,,,,,,,,
Grid ref,TQ172317,Long,-0.328523,Lat,51.072671,,,,,,,
Station no,471/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.19,2.60,1.29,1.65,3.81,4.83,2.46,3.41,2.88,3.19,,
February,6.54,0.89,1.37,2.55,1.73,0.42,4.85,2.77,0.11,2.41,,
March,3.32,3.26,0.38,3.48,1.29,0.95,1.68,2.12,2.77,1.74,,
April,2.11,1.94,2.24,0.38,0.31,1.69,0.13,1.09,2.87,0.94,,
May,2.65,2.88,1.98,2.15,3.79,0.33,1.07,2.96,0.91,1.64,,
June,1.93,1.29,1.57,3.84,1.94,2.48,1.18,4.28,1.43,2.39,,
July,1.75,1.24,3.16,2.97,0.62,3.70,5.57,1.69,1.11,4.01,,
August,5.03,2.05,1.59,3.03,0.82,3.20,1.77,4.04,1.53,4.19,,
September,3.28,3.15,3.98,2.41,2.22,3.73,3.07,4.29,0.07,3.59,,
October,1.27,3.38,3.85,2.74,3.85,1.47,1.69,3.93,3.50,7.04,,
November,6.50,4.02,1.72,6.87,1.47,1.12,2.71,2.45,3.67,6.53,,
December,4.11,2.50,0.81,2.60,3.85,5.20,2.80,4.29,7.42,3.91,,
Total,42.68,29.20,23.94,34.67,25.70,29.12,28.98,37.32,28.27,41.58,,
Calc annual,42.68,29.20,23.94,34.67,25.70,29.12,28.98,37.32,28.27,41.58,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
