"OXTON (CHANNELKIRK SCHOOL)",,,,,,,,,,,,
Grid ref,NT496536,Long,-2.804962,Lat,55.773092,,,,,,,
Station no,5089/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.34,2.58,1.21,5.70,,
February,,,,,,,3.38,2.62,0.58,5.20,,
March,,,,,,,2.07,2.20,1.16,1.97,,
April,,,,,,,1.31,2.08,2.29,1.62,,
May,,,,,,,2.03,2.59,0.49,1.96,,
June,,,,,,,1.16,3.31,2.16,1.13,,
July,,,,,,,3.45,4.94,2.05,3.56,,
August,,,,,,,7.92,2.62,0.56,3.54,,
September,,,,,,,1.67,2.17,0.62,1.87,,
October,,,,,,,1.72,1.70,2.58,6.00,,
November,,,,,,,1.49,1.06,5.90,2.58,,
December,,,,,,,3.68,5.36,2.71,3.09,,
Total,,,,,,,33.22,33.23,22.31,38.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.22,33.23,22.31,38.22,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
