"FLORE, NORTHANTS",,,,,,,,,,,,
Grid ref,SP649603,Long,-1.051040,Lat,52.237075,,,,,,,
Station no,1104/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.69,3.56,3.41,,
February,,,,,,,,2.79,0.07,1.75,,
March,,,,,,,,1.54,2.50,1.24,,
April,,,,,,,,0.76,2.75,0.53,,
May,,,,,,,,1.93,0.44,1.49,,
June,,,,,,,,4.13,1.03,2.76,,
July,,,,,,,,2.79,2.06,2.99,,
August,,,,,,,,2.69,0.82,3.51,,
September,,,,,,,,2.29,0.10,3.25,,
October,,,,,,,,2.17,1.87,5.06,,
November,,,,,,,,1.62,1.97,3.11,,
December,,,,,,,,2.40,4.08,3.02,,
Total,,,,,,,,27.80,21.25,32.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.80,21.25,32.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
