"LANGPORT (LOW HAM)",,,,,,,,,,,,
Grid ref,ST435297,Long,-2.807657,Lat,51.063841,,,,,,,
Station no,2076/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.16,1.97,3.05,2.87,,
February,,,,,,,2.97,2.88,0.25,2.43,,
March,,,,,,,1.85,0.51,3.28,1.73,,
April,,,,,,,0.11,0.60,2.19,2.36,,
May,,,,,,,1.94,1.97,1.02,1.23,,
June,,,,,,,2.96,3.31,0.85,0.73,,
July,,,,,,,2.97,2.35,1.25,4.42,,
August,,,,,,3.45,3.15,3.96,0.73,4.99,,
September,,,,,,3.46,3.12,4.52,0.06,3.41,,
October,,,,,,1.71,2.27,1.77,2.97,8.29,,
November,,,,,,0.87,1.62,3.23,4.17,3.36,,
December,,,,,,2.67,2.80,3.45,5.42,2.79,,
Total,,,,,,,27.92,30.52,25.24,38.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,12.16,27.92,30.52,25.24,38.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
